uid,hn,street,boro,state
92993,35-15,171ST ST,QUEENS,NY
92994,35-16,171ST ST,QUEENS,NY
92995,35-19,171ST ST,QUEENS,NY
92996,35-20,171ST ST,QUEENS,NY
92997,35-23,171ST ST,QUEENS,NY
92998,35-24,171ST ST,QUEENS,NY
92999,35-27,171ST ST,QUEENS,NY
93000,35-32,171ST ST,QUEENS,NY
93001,35-33,171ST ST,QUEENS,NY
93002,35-38,171ST ST,QUEENS,NY
93003,35-39,171ST ST,QUEENS,NY
93004,35-42,171ST ST,QUEENS,NY
93005,35-45,171ST ST,QUEENS,NY
93006,35-51,171ST ST,QUEENS,NY
93007,67-54,80TH ST ,Queens,NY
93008,29-56,172ND ST,QUEENS,NY
93009,32-04,172ND ST,QUEENS,NY
93010,32-08,172ND ST,QUEENS,NY
93011,32-13,172ND ST,QUEENS,NY
93012,32-14,172ND ST,QUEENS,NY
93013,32-17,172ND ST,QUEENS,NY
93014,32-18,172ND ST,QUEENS,NY
93015,32-21,172ND ST,QUEENS,NY
93016,32-22,172ND ST,QUEENS,NY
93017,32-26,172ND ST,QUEENS,NY
93018,32-30,172ND ST,QUEENS,NY
93019,33-06,172ND ST,QUEENS,NY
93020,33-14,172ND ST,QUEENS,NY
93021,33-15,172ND ST,QUEENS,NY
